Emp_ID,Years_Experience,Salary,Performance_Score,Department,Remote_Work_Ratio
1,6,68419,2.7936965719449893,IT,0.0
2,19,95636,4.977829850443283,IT,0.5
3,14,95015,1.7037010107093815,IT,1.0
4,10,99268,1.0723014544620835,R&D,0.5
5,7,132939,2.9755748607337384,R&D,0.5
6,20,63141,1.7152908368853153,IT,0.0
7,6,125356,2.4658751383314397,Sales,0.0
8,18,116910,3.976682092226249,R&D,0.0
9,22,101044,3.883759697008517,IT,0.5
10,10,112214,2.232243167409557,IT,1.0
11,10,78827,3.170160922219597,Sales,0.0
12,23,100820,3.03525630735504,HR,0.0
13,20,107623,3.5453304727435815,R&D,0.5
14,3,126734,2.0018472744223366,Sales,0.0
15,7,120450,3.3594833902421755,IT,1.0
16,23,67299,4.915571433100036,IT,1.0
17,2,88585,2.9469686118378204,Sales,0.0
18,21,109044,4.624395150874216,R&D,0.0
19,20,87557,2.7375774620417146,HR,0.5
20,1,94080,2.4003136307787027,HR,1.0
21,23,47693,3.5804134481222594,IT,1.0
22,11,114163,3.6756962386523986,R&D,0.0
23,5,70939,4.456670260287613,HR,0.5
24,1,93925,1.920741072966221,R&D,1.0
25,20,87941,2.9967735195390093,R&D,1.0
26,0,66834,3.2880167968367324,IT,0.5
27,11,63047,4.074216057225236,HR,0.5
28,21,71105,1.174415087017735,Sales,1.0
29,11,120766,4.9782020431893645,IT,1.0
30,24,60707,2.879778055963772,HR,0.5
31,16,66976,2.1182413671870344,HR,1.0
32,9,89262,4.533976089065035,HR,0.0
33,15,68776,3.9908750955896557,HR,0.0
34,14,75080,4.812287388095813,HR,0.5
35,14,111842,2.323001218682055,R&D,0.5
36,18,106373,3.2110598673419597,IT,0.5
37,11,51776,3.2891698766833533,R&D,0.0
38,22,100016,4.921326334864183,Sales,1.0
39,19,54474,1.3013850240245128,HR,0.0
40,24,103053,2.2227880771487274,IT,1.0
41,2,66959,1.763644124601384,HR,0.0
42,4,50530,2.0738994275606273,IT,1.0
43,18,48748,2.9411194971052628,R&D,0.0
44,6,58545,2.490747468376197,IT,0.5
45,20,111199,2.578765867237889,Sales,0.0
46,8,79766,4.3768525629052455,Sales,1.0
47,6,118530,4.720067339243327,IT,0.0
48,17,106087,1.2816645233981756,IT,0.0
49,3,113840,1.8356748704614407,IT,0.0
50,24,99384,3.6845740672962024,IT,0.5
51,13,96005,2.4345871251846556,Sales,0.0
52,17,91576,2.016654596278955,HR,0.5
53,8,84353,2.181162353675755,IT,0.5
54,20,107003,2.290203056954402,IT,0.0
55,1,128211,4.394679179698698,Sales,0.0
56,19,97733,1.5464853257681153,Sales,0.0
57,14,110318,3.8356439876404744,R&D,1.0
58,6,134474,3.211279907631631,IT,0.0
59,11,68664,2.186040574591194,R&D,0.5
60,7,112172,2.679123425785106,Sales,0.0
61,14,130616,2.0248277743778322,Sales,1.0
62,2,71736,3.446054843462722,HR,0.0
63,13,45854,1.3263767216009614,IT,1.0
64,16,83623,1.020739451095947,R&D,1.0
65,3,52392,3.5115776597945443,Sales,0.0
66,17,100680,1.777095814048169,Sales,0.5
67,7,91717,1.2837636679997106,R&D,1.0
68,3,132092,2.5871353088555535,HR,0.0
69,1,95859,1.2030741241575877,Sales,0.0
70,5,71309,4.54646859580264,IT,0.5
71,21,132455,1.1104670874948188,Sales,1.0
72,9,108734,3.315459582030235,IT,1.0
73,3,115467,2.753896492072348,R&D,0.0
74,21,97662,3.6881045411807976,IT,0.0
75,17,57688,2.3126106698989277,R&D,0.5
76,11,70342,1.6201664669109768,IT,0.5
77,1,82157,4.927363553242124,R&D,1.0
78,9,112863,4.355734008277453,IT,1.0
79,3,97083,4.441618473246701,HR,0.0
80,13,110733,2.001005442063456,IT,1.0
81,15,134045,1.1553389377176928,IT,0.5
82,14,79698,2.2130620586928913,HR,0.5
83,7,125623,3.1483297087866218,Sales,0.0
84,13,67671,2.3066049671841635,Sales,0.5
85,22,70184,4.311476015150355,IT,0.5
86,24,87107,2.0861716632789675,HR,0.5
87,7,131202,4.861007321563079,IT,0.5
88,20,96663,2.829060646454914,R&D,0.0
89,15,60708,4.368092300047925,R&D,0.0
90,12,94811,1.777520135979492,IT,1.0
91,17,47811,2.6454156202267143,Sales,0.5
92,14,101250,3.7980488430687753,Sales,1.0
93,20,117082,1.5534123696712054,IT,0.0
94,23,79754,1.5309816889718793,IT,0.0
95,24,56411,4.8781474684566355,R&D,0.0
96,12,47911,3.8583804167198084,Sales,0.0
97,8,112270,1.1642700670715032,IT,0.0
98,14,128763,2.595283605779178,R&D,0.0
99,12,53680,2.734082950322968,Sales,0.0
100,0,129896,3.9761705719964615,HR,0.5
101,24,128879,2.003442109386645,R&D,1.0
102,6,116295,1.7373346973254802,Sales,0.0
103,8,133614,1.3234918664687907,Sales,0.5
104,23,56111,2.713257899760431,R&D,0.5
105,0,82504,3.7539996030614655,HR,1.0
106,11,46802,1.2327743820337744,R&D,0.0
107,7,53155,4.660854910505922,Sales,1.0
108,23,118656,2.7694089189244178,IT,0.0
109,10,84384,1.959149436629613,IT,0.5
110,18,92254,1.375493160325167,R&D,0.5
111,16,66918,1.7314639884292293,Sales,0.5
112,7,130981,4.7384559893588385,IT,0.5
113,2,105713,3.5530823753734015,Sales,1.0
114,2,75306,3.0667850297062667,R&D,0.0
115,0,61646,3.6284453140006674,IT,0.0
116,4,91843,2.742691594711564,Sales,1.0
117,9,61371,3.920157266247274,IT,0.0
118,6,122371,1.1908645107665952,R&D,0.5
119,8,47049,3.264148841976305,Sales,0.0
120,6,76616,1.6345857905699641,IT,0.5
121,8,65932,1.4806585912225687,R&D,1.0
122,7,74855,2.3675186668656063,IT,0.0
123,11,106434,1.3671962632537675,IT,1.0
124,1,117694,1.3766279530742405,HR,0.0
125,0,88016,2.2456532375651768,HR,0.5
126,15,52400,4.918042114486035,R&D,1.0
127,22,87642,1.7013210795573541,HR,0.0
128,22,60151,1.068644407327001,R&D,0.5
129,23,96407,4.053457692015644,HR,1.0
130,4,111690,4.227651908203118,IT,1.0
131,2,49499,2.385217284357603,R&D,0.0
132,11,51295,2.8586952517584456,R&D,0.0
133,7,104040,3.5990947305710534,IT,0.0
134,21,57183,1.192235696788135,R&D,0.5
135,2,74299,4.796582926365543,R&D,0.0
136,0,57874,4.54672154919219,HR,1.0
137,2,77711,2.043574493366856,R&D,1.0
138,4,50539,1.061218161161539,Sales,0.0
139,14,98351,4.733745232317932,IT,0.0
140,13,106267,3.004159535661037,HR,1.0
141,2,93354,3.15750979360025,HR,0.5
142,0,47557,3.7358550775925643,Sales,0.0
143,4,83360,3.4634046575596553,IT,0.0
144,22,127018,4.775566418243029,IT,1.0
145,13,47200,4.77700638850067,HR,0.0
146,6,113497,4.468795734220015,R&D,0.5
147,8,91975,3.545614389784045,HR,1.0
148,14,66357,4.203797178729599,IT,0.0
149,14,122505,3.708673369531927,Sales,1.0
150,9,47869,3.2934681666877332,HR,0.0
