Date,Sales_USD,Region,Profit_Margin,Transaction_Volume
2024-01-01,4174,East,0.29030540341040917,421
2024-01-02,4507,North,0.30421163546643004,399
2024-01-03,1860,East,0.25928037499514095,96
2024-01-04,2294,North,0.23433494937192753,404
2024-01-05,2130,South,0.2658679267213984,360
2024-01-06,2095,East,0.2778090171638181,473
2024-01-07,4772,South,0.12425599789981459,357
2024-01-08,4092,North,0.21089633681842135,193
2024-01-09,2638,West,0.1726479814832278,318
2024-01-10,3169,East,0.3409419269139688,419
2024-01-11,1466,North,0.24109019033381154,173
2024-01-12,2238,West,0.3950269422684529,155
2024-01-13,1330,West,0.21964733273336595,207
2024-01-14,2482,South,0.34492956196581526,196
2024-01-15,3135,North,0.3395035374953654,194
2024-01-16,4444,West,0.14521526318962885,169
2024-01-17,4171,East,0.25245963302221563,368
2024-01-18,3919,East,0.30874384203726457,324
2024-01-19,4735,South,0.35750764144411595,141
2024-01-20,1130,West,0.19778767156056543,107
2024-01-21,2685,North,0.1660723142696645,488
2024-01-22,4380,East,0.31334485973140536,395
2024-01-23,1769,West,0.34285031384191467,278
2024-01-24,3391,West,0.20459979618751883,166
2024-01-25,2515,South,0.12885296532742624,367
2024-01-26,4485,East,0.3821569793468812,328
2024-01-27,3853,East,0.21927160632625672,176
2024-01-28,3433,North,0.2553254051582441,442
2024-01-29,2215,East,0.3513130317721984,445
2024-01-30,1955,North,0.30270703511178426,178
2024-01-31,3324,East,0.3205648357722317,107
2024-02-01,2184,South,0.1627214862213141,171
2024-02-02,1459,East,0.2624343921482698,50
2024-02-03,4385,North,0.3087353198035247,288
2024-02-04,1021,North,0.16856500653918993,339
2024-02-05,3300,South,0.15248647812878086,145
2024-02-06,1747,East,0.39465050299883075,175
2024-02-07,3904,East,0.25499076738130433,167
2024-02-08,4632,South,0.17824875244912272,97
2024-02-09,1474,East,0.3988761099273773,138
2024-02-10,2082,East,0.38962580538663816,286
2024-02-11,3558,North,0.26748803608212934,422
2024-02-12,4753,East,0.36479090295680194,434
2024-02-13,3047,East,0.15661213250241382,321
2024-02-14,4547,South,0.18366140577765458,238
2024-02-15,3747,South,0.31010734899183146,241
2024-02-16,1975,West,0.3539983426714918,496
2024-02-17,2806,North,0.35689728756342776,118
2024-02-18,1189,East,0.22135243813665706,327
2024-02-19,4005,East,0.366331029628288,398
2024-02-20,3734,West,0.35527853463025383,296
2024-02-21,4005,East,0.3806904982662843,125
2024-02-22,1562,North,0.3356021953341831,203
2024-02-23,2899,West,0.3006964764142686,193
2024-02-24,4638,North,0.2742059864309364,484
2024-02-25,2267,West,0.21168482996852295,135
2024-02-26,3879,West,0.38204003273733356,234
2024-02-27,2528,South,0.3920991510265952,334
2024-02-28,4202,North,0.18517629242123973,269
